ID,Name,Age,Date_of_Joining,Salary,Department
131,Bob,,2021-03-22,N/A,Finance
132,Alice,32,2022-12-02,38275,HR
133,Alice,20,2022-02-23,50700,Finance
134,Bob,43,2023-06-12,72351,Sales
135,,42,2020-09-23,43869,HR
136,Bob,21,2021-09-23,50954,
137,Charlie,21,2020-12-08,75026,IT
138,Diana,24,,75095,
139,Bob,28,,45523,
140,,43,2023-01-25,49991,Finance
141,,22,2023-06-22,91250,HR
142,Bob,unknown,InvalidDate,57056,HR
143,Bob,,2021-04-02,37415,HR
144,Bob,,2023-01-23,73884,Sales
145,Bob,,2021-09-21,67044,Finance
146,Alice,31,2020-09-01,79976,Finance
147,Charlie,unknown,2023-07-26,64148,Finance
148,Charlie,41,2022-06-03,83459,
149,Alice,48,InvalidDate,68578,HR
150,Bob,unknown,2021-12-15,50466,HR
151,,47,2021-02-13,90142,HR
152,Alice,40,InvalidDate,52412,
153,Alice,38,InvalidDate,N/A,IT
154,Bob,,2022-05-03,43156,Finance
155,,unknown,,60106,HR
156,Alice,44,2021-10-25,N/A,Finance
157,Charlie,27,,57127,HR
158,Diana,unknown,InvalidDate,32708,
159,Alice,48,,87615,Sales
160,Diana,42,2021-09-13,40014,Finance
161,Bob,20,2023-05-02,77135,Sales
162,Charlie,20,2022-04-13,38712,HR
163,Charlie,21,,99087,Sales
164,Charlie,27,InvalidDate,57128,Sales
165,Alice,26,2023-11-02,62920,Finance
166,Diana,25,2022-03-05,41108,Sales
167,Bob,38,2021-09-02,72712,Finance
168,Alice,unknown,,,Finance
169,Alice,48,2022-09-03,50583,HR
170,Charlie,unknown,2023-03-07,N/A,Finance
171,Charlie,,2023-01-04,95942,Sales
172,Alice,44,2023-01-05,N/A,
173,Charlie,unknown,2023-04-04,N/A,IT
174,Alice,20,InvalidDate,51644,Sales
175,Charlie,unknown,2021-03-07,,Sales
176,Alice,unknown,2021-07-05,31538,HR
177,Charlie,20,2020-07-02,71520,Finance
178,Bob,32,2020-06-06,30174,HR
179,,23,2021-07-26,83312,IT
180,Alice,39,2020-01-13,74814,
181,Bob,48,InvalidDate,,HR
182,Alice,48,2020-04-17,71328,Sales
183,,unknown,InvalidDate,64675,IT
184,Diana,46,2022-05-26,34173,IT
185,Bob,38,2021-04-16,N/A,Finance
186,Charlie,45,2023-03-09,75814,Finance
187,Diana,unknown,2020-06-10,57962,HR
188,Charlie,,2020-01-09,86184,HR
189,Charlie,25,2023-09-09,40578,HR
190,Alice,42,,69194,IT
191,Alice,33,2023-12-08,97391,HR
192,Diana,45,2022-07-02,88002,Sales
193,,49,2021-08-17,N/A,IT
194,Charlie,20,InvalidDate,86408,IT
195,Bob,47,2020-12-01,46835,Finance
196,Bob,31,2023-08-25,N/A,IT
197,Diana,unknown,2020-03-24,73526,
198,Diana,unknown,2020-05-20,N/A,HR
199,Diana,unknown,,41442,Finance
200,Diana,45,2022-07-19,67327,Sales
201,Charlie,unknown,2022-10-05,30112,HR
202,Alice,unknown,2021-08-10,89722,HR
203,Alice,30,2023-12-17,46523,Finance
204,Diana,33,,49552,HR
205,Charlie,unknown,2022-02-03,53620,IT
206,Alice,unknown,2021-04-14,61802,HR
207,Alice,unknown,2020-10-23,56049,Sales
208,Charlie,42,2021-10-21,,Sales
209,Alice,34,2022-08-02,76220,IT
210,Alice,unknown,2020-12-02,75270,IT
211,Charlie,unknown,2022-01-08,52931,Sales
212,Charlie,40,2020-09-08,,HR
213,Charlie,22,2023-10-25,55991,Sales
214,Alice,unknown,2023-04-21,85312,Sales
215,Diana,25,,92875,Sales
216,Alice,37,InvalidDate,31988,IT
217,Bob,46,2020-02-21,44256,HR
218,Diana,30,2020-08-14,58230,Finance
219,Charlie,46,2022-07-12,75833,Sales
220,Diana,43,,71167,HR
221,Charlie,39,2021-12-13,95303,Sales
222,Charlie,43,2020-05-15,34117,HR
223,Alice,48,InvalidDate,90710,HR
224,Bob,41,2020-06-11,,HR
225,Bob,37,2020-08-03,98136,HR
226,Alice,,2022-07-07,94619,IT
227,,28,2020-05-15,56990,HR
228,Bob,unknown,2021-08-01,49233,
229,Diana,48,2022-01-04,64510,IT
230,Charlie,26,2023-10-02,42360,HR
231,Diana,32,2021-05-14,75800,IT
232,Charlie,38,2022-02-09,84330,Sales
233,Charlie,38,2020-04-04,59084,Sales
234,Bob,49,InvalidDate,32642,HR
235,Alice,32,2021-09-02,85561,Sales
236,Diana,35,2023-11-16,78442,Sales
237,Bob,37,2022-06-24,31813,HR
238,Alice,38,2021-04-15,85276,HR
239,Charlie,21,2023-10-24,90272,IT
240,Alice,36,2021-05-06,,HR
241,,unknown,2023-07-21,32093,Sales
242,,23,2021-04-28,54351,Finance
243,,48,InvalidDate,N/A,
244,Bob,22,2020-03-24,,IT
245,Alice,unknown,2021-07-20,N/A,HR
246,,21,2021-08-02,32426,HR
247,Bob,,2022-12-28,98498,IT
248,,unknown,2022-03-22,74816,Sales
249,,27,2023-10-06,34017,Sales
250,Diana,42,2023-03-16,40278,Finance
251,Bob,42,2021-07-17,31134,HR
252,Bob,48,2021-04-17,84318,HR
253,Diana,unknown,,90128,IT
254,Bob,unknown,2020-01-17,,HR
255,Alice,47,2023-11-15,40442,Finance
256,Charlie,unknown,2021-12-11,57586,IT
257,,unknown,2021-05-25,97087,
258,Charlie,unknown,2021-02-03,88671,Finance
259,Charlie,35,2020-06-13,N/A,HR
260,Alice,24,2022-03-21,99906,IT
261,Charlie,33,2022-10-19,73326,IT
262,,35,InvalidDate,30869,Finance
263,Alice,29,2021-05-04,,
264,Charlie,unknown,2023-07-07,63458,Sales
265,Diana,35,2020-08-25,,HR
266,Diana,23,2020-06-14,59061,HR
267,Charlie,unknown,2023-09-20,,IT
268,Diana,34,2023-05-24,48257,Sales
269,Bob,30,2021-06-28,50025,HR
270,Bob,21,2022-12-14,79831,IT
271,Diana,42,InvalidDate,,IT
272,Diana,24,2021-12-09,77195,HR
273,Diana,49,2023-11-20,40751,IT
274,,40,2022-09-21,37352,
275,Charlie,,2020-11-07,58927,HR
276,Charlie,31,2022-02-24,84122,Finance
277,Diana,29,2023-07-21,61707,Finance
278,Charlie,unknown,2023-08-14,55398,Sales
279,Diana,36,2021-05-18,,
280,Diana,36,2022-10-05,43652,Finance
281,Diana,27,,,Sales
282,Bob,44,2023-09-09,N/A,IT
283,Bob,41,2020-04-10,N/A,IT
284,Alice,,2021-07-01,45954,Finance
285,Charlie,,2020-02-28,42356,HR
286,Alice,21,2020-07-22,32187,Finance
287,Bob,unknown,2021-06-14,51225,IT
288,Charlie,unknown,2020-10-21,87620,HR
289,Bob,28,2021-09-02,N/A,
290,Charlie,36,2023-03-07,N/A,HR
291,Alice,unknown,InvalidDate,78516,HR
292,Alice,42,2021-03-19,96736,IT
293,Diana,41,2023-07-21,N/A,Sales
294,Bob,44,2022-04-14,30136,HR
295,Alice,46,InvalidDate,89500,Finance
296,Charlie,31,2021-04-28,96197,
297,Diana,40,,N/A,Finance
298,Alice,unknown,2021-01-02,46322,Finance
299,Charlie,40,2021-03-08,57518,Sales
300,Alice,45,2021-04-03,31700,HR
301,Alice,21,2023-07-25,53199,Finance
302,Charlie,30,,91934,Finance
303,Charlie,40,2023-12-10,84316,Finance
304,Charlie,45,2023-12-09,N/A,Finance
305,Diana,30,2020-08-23,71605,HR
306,,unknown,2022-08-18,43917,Finance
307,Charlie,26,2023-06-12,94925,HR
308,Bob,41,,60954,Sales
309,Diana,,2021-11-08,71458,Finance
310,Bob,unknown,2023-01-23,73939,Finance
311,Bob,20,2020-12-16,76313,Sales
312,Alice,34,2023-06-14,99166,IT
313,Alice,unknown,2023-09-12,79298,HR
314,,36,,,
315,Diana,32,,73370,HR
316,Charlie,unknown,2021-11-23,45534,HR
317,Bob,40,2020-09-03,66320,Sales
318,Alice,unknown,2020-04-02,38640,IT
319,Alice,unknown,2021-05-03,60049,Finance
320,Bob,27,,86053,HR
321,Charlie,26,2021-03-28,99724,IT
322,Diana,unknown,2022-02-15,62972,Finance
323,Charlie,,2020-05-24,58916,
324,Bob,25,2022-12-28,67158,HR
325,,38,InvalidDate,91510,Sales
326,Diana,,2021-01-21,91744,IT
327,Charlie,unknown,2021-09-19,60009,Sales
328,Charlie,44,2021-11-25,30192,Sales
329,Bob,34,InvalidDate,N/A,IT
330,Alice,unknown,2022-11-03,80940,Finance
331,Bob,27,2020-02-02,66468,HR
332,Diana,36,2023-12-15,77897,HR
333,Alice,41,,72056,Sales
334,Alice,27,2022-07-03,N/A,Sales
335,Alice,44,2020-06-15,57048,Finance
336,Alice,,2022-09-21,73954,HR
337,Diana,32,2023-04-12,30717,Finance
338,Diana,29,2020-03-28,N/A,IT
339,Bob,36,InvalidDate,34994,Finance
340,Alice,40,2022-07-27,73949,Sales
341,Bob,26,InvalidDate,72215,
342,Bob,unknown,,81759,HR
343,Alice,,2021-11-20,32581,Finance
344,Bob,37,,85480,Finance
345,Bob,48,2022-06-16,55307,Finance
346,Charlie,49,2021-03-03,67548,HR
347,Charlie,22,,N/A,HR
348,Alice,29,2021-09-27,32382,Sales
349,Bob,33,InvalidDate,75276,Finance
350,Charlie,22,2021-08-06,56946,Finance
351,Charlie,32,2023-08-17,52335,
352,Diana,24,2023-01-24,57197,Sales
353,Charlie,unknown,2021-11-21,54123,HR
354,Alice,31,2022-09-04,38026,IT
355,Alice,43,2023-08-02,63665,Finance
356,Charlie,48,,77664,Sales
357,Alice,32,2022-07-16,N/A,Sales
358,Charlie,35,2020-12-03,85612,IT
359,,31,2021-02-21,84319,Finance
360,Charlie,42,2020-04-05,51639,Sales
361,Bob,21,,64660,HR
362,Charlie,42,2023-03-17,N/A,HR
363,Bob,,2023-01-08,41577,Finance
364,Charlie,22,,74386,HR
365,,33,InvalidDate,71003,HR
366,Bob,49,,65931,Sales
367,,49,2021-04-25,64693,
368,,44,2023-07-07,47374,Finance
369,Alice,,2023-06-12,N/A,Finance
370,Alice,29,2021-12-02,74516,Finance
371,Alice,26,2022-07-09,86233,Finance
372,Alice,20,InvalidDate,69178,HR
373,Alice,22,2021-01-12,90935,
374,Charlie,43,2022-08-19,68712,HR
375,Alice,unknown,2020-09-13,N/A,Finance
376,Bob,24,2023-03-16,36859,HR
377,Diana,,2023-01-13,51839,Sales
378,Alice,34,2020-01-08,90593,Sales
379,Diana,36,2023-01-26,34886,
380,Bob,23,2020-01-10,61455,Sales
381,Alice,unknown,InvalidDate,58453,Finance
382,Charlie,24,2020-09-17,,HR
383,Charlie,,2022-11-07,52588,IT
384,Diana,33,,N/A,Finance
385,Diana,49,2020-01-08,74948,IT
386,Diana,unknown,2023-08-08,96458,HR
387,Bob,23,2020-12-16,82198,HR
388,Alice,unknown,InvalidDate,73395,IT
389,Diana,41,2023-09-27,67701,IT
390,Diana,32,2021-07-17,79145,Sales
391,,30,2021-02-02,30203,HR
392,Bob,45,2020-04-18,59063,IT
393,Bob,unknown,2022-12-08,96629,HR
394,Diana,unknown,2020-12-26,55183,HR
395,Bob,,2020-07-02,49259,Finance
396,,36,InvalidDate,63457,HR
397,Diana,,2020-10-14,32103,HR
398,Bob,48,2021-09-25,74535,Finance
399,Diana,unknown,2022-04-06,42391,Finance
400,Diana,,2021-06-03,N/A,HR
401,Alice,unknown,2023-02-17,68437,HR
402,,25,2023-03-11,,HR
403,Charlie,48,2020-10-05,N/A,HR
404,Diana,unknown,InvalidDate,67228,IT
405,Bob,24,2021-12-21,58302,Finance
406,Diana,28,2021-04-03,,Finance
407,Bob,46,2020-05-06,N/A,Finance
408,Alice,28,2023-12-02,55525,IT
409,,unknown,,44334,Sales
410,Alice,28,InvalidDate,36644,Sales
411,Bob,44,2023-10-27,62933,Sales
412,,46,2023-12-01,63687,Finance
413,,47,2021-08-28,47375,IT
414,Charlie,27,2023-05-24,N/A,IT
415,Charlie,35,2022-04-19,53993,HR
416,Bob,,2023-02-28,76287,HR
417,Bob,35,2022-11-11,38210,Finance
418,Bob,,2021-05-08,63340,
419,Charlie,37,2023-08-12,,IT
420,Diana,49,2022-04-17,35741,Sales
421,Diana,45,2020-08-24,98798,Finance
422,Diana,27,2022-04-26,,Finance
423,Alice,unknown,2021-11-27,N/A,HR
424,Bob,unknown,2021-06-27,97753,HR
425,Alice,unknown,InvalidDate,55613,Sales
426,Charlie,unknown,2020-10-28,60908,IT
427,Bob,46,,N/A,Finance
428,Diana,unknown,2020-01-13,,Sales
429,Bob,,2021-04-17,66182,HR
430,Alice,23,,49288,
431,Alice,25,2020-01-13,30917,Finance
432,Diana,unknown,InvalidDate,N/A,Finance
433,Charlie,45,2022-10-02,69104,Finance
434,Alice,42,2022-10-17,91845,HR
435,Alice,30,,53470,HR
436,Diana,26,2022-04-19,89821,IT
437,Alice,23,2022-08-03,74435,Sales
438,Diana,32,2021-11-04,42192,Sales
439,Diana,26,2020-03-28,N/A,HR
440,Alice,32,2021-09-24,,IT
441,Alice,36,2020-07-21,,HR
442,,27,2020-01-05,49404,HR
443,Bob,47,2022-11-21,49173,IT
444,Bob,unknown,2021-12-22,53989,IT
445,Diana,25,2022-07-28,54519,HR
446,,26,InvalidDate,44995,HR
447,,21,,,
448,Diana,47,2021-12-12,N/A,HR
449,Bob,24,2021-07-26,76223,Finance
450,Alice,23,2022-01-24,52250,IT
451,Diana,23,2022-11-25,96798,HR
452,Charlie,46,,89546,HR
453,Bob,31,2021-12-19,N/A,Finance
454,,29,,94418,Sales
455,Alice,41,InvalidDate,N/A,IT
456,Bob,unknown,2020-01-17,76830,IT
457,Alice,,2023-03-06,45160,
458,Bob,48,2020-07-16,57230,Sales
459,Alice,46,InvalidDate,61085,Finance
460,Alice,48,2021-10-21,35750,Finance
461,Alice,48,2021-09-24,N/A,IT
462,Charlie,25,,64314,IT
463,Diana,38,InvalidDate,65179,IT
464,Charlie,42,2022-07-03,55338,IT
465,,33,2020-05-01,,HR
466,Bob,23,2020-08-08,75619,Finance
467,Bob,unknown,InvalidDate,,Finance
468,Diana,unknown,2021-08-23,95149,HR
469,Alice,48,2021-04-06,84567,HR
470,,unknown,InvalidDate,91799,IT
471,Alice,39,,55479,IT
472,,unknown,2022-06-16,85863,Finance
473,Alice,49,2020-07-02,45408,Finance
474,Diana,unknown,2023-06-28,,Finance
475,Charlie,34,2021-08-15,N/A,HR
476,,,InvalidDate,74254,IT
477,Alice,38,,N/A,Sales
478,Charlie,22,InvalidDate,45735,Sales
479,,unknown,2020-09-21,N/A,IT
480,Charlie,unknown,2022-05-19,75066,IT
481,Charlie,22,2021-01-23,40335,HR
482,Charlie,unknown,InvalidDate,77295,Finance
483,Bob,unknown,2021-04-20,96983,HR
484,Charlie,35,2021-02-28,89287,
485,Charlie,47,2020-08-15,N/A,HR
486,,36,,49520,HR
487,Alice,unknown,2023-02-12,55566,Sales
488,Bob,33,InvalidDate,60134,
489,,26,2022-11-09,71185,Sales
490,Diana,31,2022-09-17,63455,HR
491,Bob,,2021-02-22,84219,HR
492,Charlie,unknown,2022-08-18,39486,Finance
493,Bob,44,2021-05-12,N/A,HR
494,Alice,26,InvalidDate,73856,HR
495,Bob,31,InvalidDate,61379,Finance
496,Bob,28,,84353,
497,Charlie,44,2022-03-17,95982,Finance
498,Alice,41,2023-12-19,47618,IT
499,,40,2021-07-26,N/A,IT
500,,27,2023-11-25,53569,Finance
370,Alice,29,2021-12-02,74516,Finance
348,Alice,29,2021-09-27,32382,Sales
34,,unknown,InvalidDate,49611,Finance
463,Diana,38,InvalidDate,65179,IT
493,Bob,44,2021-05-12,N/A,HR
130,Charlie,25,2021-03-22,75607,Sales
63,Diana,22,2022-12-06,53091,IT
284,Alice,,2021-07-01,45954,Finance
97,Charlie,23,2020-04-16,93069,IT
462,Charlie,25,,64314,IT
107,Bob,,2022-06-22,96732,HR
250,Diana,42,2023-03-16,40278,Finance
290,Charlie,36,2023-03-07,N/A,HR
100,Alice,41,2021-01-13,52601,Sales
136,Bob,21,2021-09-23,50954,
155,,unknown,,60106,HR
139,Bob,28,,45523,
425,Alice,unknown,InvalidDate,55613,Sales
21,Charlie,,2021-11-18,63002,Finance
271,Diana,42,InvalidDate,,IT
62,Bob,43,2022-08-15,95344,Sales
37,Bob,44,2023-03-13,N/A,Finance
431,Alice,25,2020-01-13,30917,Finance
213,Charlie,22,2023-10-25,55991,Sales
227,,28,2020-05-15,56990,HR
239,Charlie,21,2023-10-24,90272,IT
196,Bob,31,2023-08-25,N/A,IT
143,Bob,,2021-04-02,37415,HR
498,Alice,41,2023-12-19,47618,IT
316,Charlie,unknown,2021-11-23,45534,HR
82,Charlie,47,2020-12-26,43979,
61,Bob,23,,84254,IT
103,Bob,28,2022-08-17,54532,Finance
191,Alice,33,2023-12-08,97391,HR
182,Alice,48,2020-04-17,71328,Sales
338,Diana,29,2020-03-28,N/A,IT
305,Diana,30,2020-08-23,71605,HR
40,Bob,unknown,2021-02-23,59336,IT
202,Alice,unknown,2021-08-10,89722,HR
274,,40,2022-09-21,37352,
439,Diana,26,2020-03-28,N/A,HR
168,Alice,unknown,,,Finance
330,Alice,unknown,2022-11-03,80940,Finance
126,Bob,23,2020-08-01,32871,IT
320,Bob,27,,86053,HR
180,Alice,39,2020-01-13,74814,
13,Diana,34,2021-07-12,56654,
222,Charlie,43,2020-05-15,34117,HR
366,Bob,49,,65931,Sales
382,Charlie,24,2020-09-17,,HR
